PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Ord. Off. Phone,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,Last GR No.,Last GR Date,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
PL00019601,Part 221,60,0,60,60,2025-12-01 23:59:59,2025-12-05 23:59:59,OPEN,âœ…W49- Shipped FedEx AWB 3959 9681 1693, ,10,10,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,,"SUPPORT,REAR",PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100019601,DAP,NOS USINES,,USD,1,PCE,,0,60,,,true,2025-11-10 00:00:00,2025-12-02 08:11:02,TURBO,Supplier 3,5
PL00019601,Part 221,8,0,8,8,2026-01-29 23:59:59,2026-01-29 23:59:59,OPEN,W47- 8 pcs under M/C,,10,11,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,,"SUPPORT,REAR",PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100019601,DAP,NOS USINES,,USD,1,PCE,,0,8,,,true,2025-11-18 00:00:00,2025-12-01 03:50:18,TURBO,Supplier 3,3
4500131387,Part 222,205,0,205,205,2026-01-07 23:59:59,2026-01-07 23:59:59,OPEN,W48- Under Rough M/C,W46 - To hold beginning of January - Additionnal demand validated by MAINI W8,10,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,DEFLECTOR,PCE,false,false,false,MEDIUM,4041,2000,888,MD124,,DAP,NOS USINES,38.46,USD,1,PCE,7884.3,0,205,,,true,2025-05-27 00:00:00,2025-11-26 13:29:45,TURBO,Supplier 3,10
PL00018560,Part 223,50,0,50,50,2026-01-31 23:59:59,2026-01-31 23:59:59,OPEN,W45- Under Rough M/C,W39 - OK also in 2026.,10,31,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,,FREEWHEEL FRONT INTERFACE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018560,DAP,NOS USINES,,USD,1,PCE,,0,50,,,true,2025-07-31 00:00:00,2025-12-01 03:45:15,TURBO,Supplier 3,15
5900031266,Part 224,50,0,50,50,2026-01-31 23:59:59,2026-01-31 23:59:59,OPEN,W45- Under Rough M/C,W38  - Demand In June 26,50,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,TAIL ROTOR BOX INTERFACE,PCE,false,false,false,MEDIUM,4041,2000,888,MD144,,DAP,NOS USINES,61.33,USD,1,PCE,3066.5,0,50,,,true,2025-07-31 00:00:00,2025-11-10 10:39:04,TURBO,Supplier 3,21
4500130855,Part 227,225,0,225,225,2026-01-12 23:59:59,2026-01-12 23:59:59,OPEN,"W43- 70 pcs Under Final Inspection, 155 pcs under M/C","W43 - Latest need 12th January, will try to send before",10,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,DOUILLE DE FIXATION,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,118.49,USD,1,PCE,26660.25,0,225,,,true,2025-05-19 00:00:00,2025-10-24 09:19:05,TURBO,Supplier 3,6
5900041333,Part 227,36,0,36,36,2026-01-12 23:59:59,2026-01-12 23:59:59,OPEN,âœ…W43- Shipped. UPS AWB- 1ZH40D686641165910. customs delay,"W43 - Impact. ðŸŸ  Sept 16th: Ultimate need, please be careful",30,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,DOUILLE DE FIXATION,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,118.49,USD,1,PCE,4265.64,0,36,80036806,2025-10-22 11:29:20,true,2024-08-22 00:00:00,2025-10-24 09:06:42,TURBO,Supplier 3,37
5900041335,Part 250,5,0,5,5,2025-12-05 23:59:59,2025-12-05 23:59:59,OPEN,âœ…W49- Shipped FedEx AWB 3959 9681 1693,"W43 - DVI validated W35, need to launch W37",40,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,DOUILLE,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,83.3,USD,1,PCE,416.5,0,5,,,true,2025-10-14 00:00:00,2025-12-02 08:10:29,TURBO,Supplier 3,17
5900041335,Part 250,100,0,100,100,2026-02-10 23:59:59,2026-02-10 23:59:59,OPEN,W45- 60 pcs Under Final Inspection. 40 pcs under M/C,W27 - For 2026 - For information & to give right priorities to MAINI,30,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,DOUILLE,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,83.3,USD,1,PCE,8330,0,100,,,true,2024-08-22 00:00:00,2025-11-26 13:29:43,TURBO,Supplier 3,16
4500130857,Part 250,225,0,225,225,2026-02-25 23:59:59,2026-02-25 23:59:59,OPEN,W45- 225 pcs under M/C,W23 - For 2026 -  New demand validated by MAINI W18,10,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,DOUILLE,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,84.3,USD,1,PCE,18967.5,0,225,,,true,2025-05-19 00:00:00,2025-11-09 09:23:04,TURBO,Supplier 3,4
5900041336,Part 229,100,0,100,100,2026-04-15 23:59:59,2026-04-15 23:59:59,OPEN,"W40-RM Delay, RM ETA End of Jan 2026. ",W36 - RM furnished by MAINI -  31.01.26 - 45d LEAD TIME I3 âœ” Feb 4th ,30,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,SLEEVE,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,6.77,USD,1,PCE,677,0,100,,,true,2024-08-22 00:00:00,2025-09-30 13:19:51,TURBO,Supplier 3,19
5900041336,Part 229,100,0,100,100,2026-04-15 23:59:59,2026-04-15 23:59:59,OPEN,"W40-RM Delay, RM ETA End of Jan 2026. ",W36 - RM furnished by MAINI -  31.01.26 - 45d LEAD TIME I3 âœ” Feb 4th ,40,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,SLEEVE,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,6.77,USD,1,PCE,677,0,100,,,true,2024-08-22 00:00:00,2025-09-30 13:19:51,TURBO,Supplier 3,19
5900040534,Part 230,12,0,12,12,2025-12-05 23:59:59,2026-02-27 23:59:59,OPEN,"W47-RM Ordered ETA End Dec. Old Batch rejected,",W47 -ðŸ”ºðŸ’²PENALTY,40,12,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,UNION,PCE,false,false,false,MEDIUM,4041,2000,888,MD123,,DAP,NOS USINES,94.96,USD,1,PCE,1139.52,0,12,,,true,2025-10-07 00:00:00,2025-12-02 08:59:00,TURBO,Supplier 3,26
5900040534,Part 230,80,0,80,80,2025-12-31 23:59:59,2026-02-27 23:59:59,OPEN,"W47-RM Ordered ETA End Dec. Old Batch rejected,",W47 -ðŸ”ºðŸ’²PENALTY,40,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,UNION,PCE,false,false,false,MEDIUM,4041,2000,888,MD123,,DAP,NOS USINES,94.96,USD,1,PCE,7596.8,0,80,,,true,2025-08-18 00:00:00,2025-12-02 08:59:00,TURBO,Supplier 3,25
5900040533,Part 231,32,0,32,32,2025-12-08 23:59:59,2026-01-05 23:59:59,OPEN,W49- 50 pcs Under Silver Plating- W51),W47 - ðŸ”ºðŸ’²PENALTY  Ultimate need is Nov 27th so be careful,30,14,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,UNION,PCE,false,false,false,MEDIUM,4041,2000,888,MD123,,DAP,NOS USINES,89.91,USD,1,PCE,2877.12,0,32,,,true,2025-07-29 00:00:00,2025-12-03 09:41:13,TURBO,Supplier 3,26
